Time;Inhabitants;Region
1900;5104;Total
1925;7308;Total
1950;10027;Total
1975;13599;Total
2000;15864;Total
2010;16575;Total
2014;16829;Total
2015;16901;Total
2016;16979;Total
2017;17082;Total
1900;788;North
1925;1003;North
1950;1206;North
1975;1491;North
2000;1657;North
2010;1714;North
2014;1718;North
2015;1719;North
2016;1718;North
2017;1722;North
1900;900;East
1925;1243;East
1950;1744;East
1975;2598;East
2000;3114;East
2010;3517;East
2014;3559;East
2015;3569;East
2016;3584;East
2017;3603;East
1900;2580;West
1925;3791;West
1950;5068;West
1975;6494;West
2000;7396;West
2010;7777;West
2014;7953;West
2015;8006;West
2016;8062;West
2017;8126;West
1900;836;South
1925;1277;South
1950;1965;South
1975;2985;South
2000;3497;South
2010;3567;South
2014;3599;South
2015;3607;South
2016;3615;South
2017;3630;South
